
[[4400, 690], [3673, 690], [621, 1029], [647, 846], [655, 641], [647, 433], [621, 251], [3689, 690], [4387, 690], [29477, 690], [-31709, 690], [529, 981], [559, 823], [570, 640], [560, 458], [530, 300], [3582, 690], [27034, 690], [262, 929], [-911, 690], [393, 873], [425, 768], [434, 641], [425, 513], [394, 406], [-965, 690], [261, 352], [235, 773], [274, 785], [305, 761], [326, 707], [334, 640], [327, 573], [305, 519], [274, 494], [235, 507], [254, 640]]
         1080919 function calls (1079765 primitive calls) in 3.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
       23    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        1    0.000    0.000    0.003    0.003 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:187(release)
       43    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        6    0.000    0.000    0.000    0.000 numeric.py:2524(geterr)
        3    0.000    0.000    0.000    0.000 threading.py:147(acquire)
       23    0.000    0.000    0.000    0.000 core.py:6063(__init__)
        1    0.000    0.000    0.000    0.000 _norm.py:3(<module>)
        1    0.000    0.000    0.000    0.000 newstr.py:64(newstr)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:611(obj2sctype)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {posix.unsetenv}
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:501(cast)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        6    0.000    0.000    0.000    0.000 decorator.py:49(__init__)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        2    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 newint.py:31(newint)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:148(<lambda>)
       21    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       17    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1023(getLogger)
        1    0.000    0.000    0.000    0.000 {posix.uname}
       26    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.000    0.000 base.py:61(spmatrix)
        1    0.000    0.000    0.000    0.000 misc.py:89(OrderedDict)
        1    0.000    0.000    0.000    0.000 os.py:475(update)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        8    0.000    0.000    0.001    0.000 core.py:7290(__init__)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:21(_cs_matrix)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 os.py:499(clear)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dome_projection.py:502(_calc_projector_focal_point)
       18    0.000    0.000    0.000    0.000 data.py:106(_create_method)
        1    0.000    0.000    0.000    0.000 lsqr.py:50(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        8    0.000    0.000    0.001    0.000 core.py:7295(getdoc)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
       40    0.000    0.000    0.000    0.000 numerictypes.py:158(english_upper)
        2    0.000    0.000    0.000    0.000 __init__.py:1125(__init__)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
       14    0.000    0.000    0.000    0.000 numerictypes.py:185(english_capitalize)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        1    0.000    0.000    0.000    0.000 lsmr.py:17(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 _onenormest.py:2(<module>)
        1    0.000    0.000    0.000    0.000 os.py:506(copy)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:282(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3810(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 decimal.py:3764(Context)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:663(__init__)
        1    0.000    0.000    0.000    0.000 newsuper.py:32(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2433(__init__)
       24    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
        7    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 twodim_base.py:190(eye)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
       14    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 _linprog.py:16(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        5    0.000    0.000    0.000    0.000 iterative.py:70(combine)
        2    0.000    0.000    0.000    0.000 warnings.py:78(simplefilter)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 matfuncs.py:346(_ExpmPadeHelper)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:507(SpooledTemporaryFile)
       20    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        2    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        1    0.000    0.000    0.000    0.000 misc.py:732(ChainMap)
        3    0.000    0.000    0.000    0.000 numeric.py:2813(__enter__)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    2.718    2.718 optimize.py:2170(fmin_powell)
       42    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 __init__.py:1565(getLogger)
        2    0.000    0.000    0.000    0.000 misc.py:58(decorating_function)
        3    0.000    0.000    0.000    0.000 numeric.py:2809(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(Manager)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
       27    0.000    0.000    0.000    0.000 decimal.py:3817(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:114(RLock)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 utils.py:64(__init__)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        2    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 data.py:22(_data_matrix)
       23    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        6    0.000    0.000    0.000    0.000 re.py:143(search)
        1    0.000    0.000    0.000    0.000 __init__.py:1110(Logger)
        1    0.000    0.000    0.000    0.000 lil.py:19(lil_matrix)
        9    0.000    0.000    0.000    0.000 core.py:2439(getdoc)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 hermite.py:1750(Hermite)
       28    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
        4    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:644(_addHandlerRef)
       31    0.000    0.000    0.000    0.000 __init__.py:100(disallow_types)
        1    0.000    0.000    0.000    0.000 dome_projection.py:32(DomeProjection)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1513(WarningManager)
        1    0.000    0.000    0.000    0.000 subprocess.py:647(Popen)
        5    0.000    0.000    0.000    0.000 __init__.py:131(metaclass)
        1    0.000    0.000    0.000    0.000 extract.py:2(<module>)
        7    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
       27    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 matfuncs.py:180(MatrixPowerOperator)
        2    0.000    0.000    0.000    0.000 posixpath.py:61(join)
        1    0.000    0.000    0.000    0.000 dok.py:29(dok_matrix)
        4    0.000    0.000    0.000    0.000 __init__.py:183(_checkLevel)
        1    0.000    0.000    0.000    0.000 spfun_stats.py:34(<module>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:933(poly1d)
        1    0.000    0.000    0.000    0.000 misc.py:318(Counter)
        1    0.000    0.000    0.000    0.000 _procrustes.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:248(NameValidator)
        1    0.000    0.000    0.000    0.000 legendre.py:1770(Legendre)
       39    0.000    0.000    0.000    0.000 decorator.py:91(<lambda>)
        5    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1399(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 _ode.py:949(dopri5)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:56(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {zip}
       14    0.000    0.000    0.000    0.000 decorator.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 bsr.py:22(bsr_matrix)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       14    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        4    0.000    0.000    0.000    0.000 getlimits.py:147(<lambda>)
       14    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<module>)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:205(DifferentialEvolutionSolver)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        1    0.000    0.000    0.000    0.000 linalg.py:139(_commonType)
        3    0.000    0.000    0.000    0.000 index_tricks.py:242(__init__)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 lambertw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:67(FunctionMaker)
        7    0.000    0.000    0.000    0.000 threading.py:64(_note)
        1    0.000    0.000    0.000    0.000 socket.py:239(_fileobject)
        7    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 polynomial.py:1493(Polynomial)
        1    0.000    0.000    0.000    0.000 doccer.py:2(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 _ode.py:458(complex_ode)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       19    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 coo.py:21(coo_matrix)
        3    0.000    0.000    0.000    0.000 numeric.py:2818(__exit__)
        1    0.000    0.000    0.000    0.000 core.py:5832(MaskedConstant)
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {math.exp}
        6    0.000    0.000    0.000    0.000 threading.py:59(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 __init__.py:580(Filterer)
        6    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 interface.py:53(LinearOperator)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2473(MaskedIterator)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_string_function}
        1    0.000    0.000    0.000    0.000 numerictypes.py:964(_register_types)
        1    0.000    0.000    0.000    0.000 newnext.py:37(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1391(__init__)
       26    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.000    0.000    0.000    0.000 _ode.py:677(vode)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        8    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 optimize.py:278(wrap_function)
        3    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 newlist.py:34(newlist)
        1    0.000    0.000    0.000    0.000 __init__.py:825(__init__)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:585(__init__)
        6    0.000    0.000    0.001    0.000 <string>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 extras.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1747(HermiteE)
        1    0.000    0.000    0.000    0.000 __init__.py:1069(_fixupParents)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        2    0.000    0.000    0.000    0.000 __init__.py:397(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1476(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 nonlin.py:484(Jacobian)
        1    0.000    0.000    0.000    0.000 Image.py:447(_E)
        2    0.000    0.000    0.000    0.000 {math.log10}
       30    0.000    0.000    0.000    0.000 decorator.py:56(__iter__)
        1    0.000    0.000    0.000    0.000 subprocess.py:400(CalledProcessError)
        7    0.000    0.000    0.000    0.000 {vars}
       27    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 sputils.py:232(IndexMixin)
        1    0.000    0.000    0.000    0.000 nonlin.py:912(BroydenFirst)
        1    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
        1    0.000    0.000    0.000    0.000 index_tricks.py:475(ndenumerate)
        1    0.000    0.000    0.000    0.000 csc.py:19(csc_matrix)
        1    0.000    0.000    0.000    0.000 dia.py:17(dia_matrix)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        2    0.000    0.000    0.000    0.000 tokenize.py:47(maybe)
        1    0.000    0.000    0.000    0.000 data.py:121(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 numerictypes.py:867(<lambda>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2017(Chebyshev)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:1085(lsoda)
        1    0.000    0.000    0.000    0.000 laguerre.py:1742(Laguerre)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:40(DoglegSubproblem)
        2    0.000    0.000    0.000    0.000 numeric.py:1717(set_string_function)
        1    0.000    0.000    0.000    0.000 nonlin.py:693(LowRankMatrix)
        1    0.000    0.000    0.000    0.000 collections.py:395(Counter)
        1    0.000    0.000    0.000    0.000 nonlin.py:1185(DiagBroyden)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 function_base.py:1529(vectorize)
        1    0.000    0.000    0.000    0.000 __init__.py:353(Formatter)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 csr.py:20(csr_matrix)
        1    0.000    0.000    0.000    0.000 io.py:76(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 nonlin.py:1330(KrylovJacobian)
        1    0.000    0.000    0.000    0.000 matfuncs.py:216(ProductOperator)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 interface.py:507(_ProductLinearOperator)
        2    0.000    0.000    0.000    0.000 version.py:3(<module>)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        5    0.000    0.000    0.000    0.000 iterative.py:69(set_docstring)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        2    0.000    0.000    0.000    0.000 linalg.py:106(_makearray)
        1    0.000    0.000    0.000    0.000 orthogonal.py:126(orthopoly1d)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
        1    0.000    0.000    0.000    0.000 _iotools.py:152(LineSplitter)
        1    0.000    0.000    0.000    0.000 core.py:5636(mvoid)
        1    0.000    0.000    0.000    0.000 runner.py:28(TextTestResult)
        4    0.000    0.000    0.000    0.000 core.py:2446(__get__)
        1    0.000    0.000    0.000    0.000 Image.py:1966(_ImageCrop)
        1    0.000    0.000    0.000    0.000 threading.py:400(notifyAll)
        1    0.000    0.000    0.000    0.000 newstr.py:56(BaseNewStr)
        1    0.000    0.000    0.000    0.000 __init__.py:889(FileHandler)
        7    0.000    0.000    0.000    0.000 utils.py:47(_set_function_name)
        1    0.000    0.000    0.000    0.000 tempfile.py:372(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 nonlin.py:1049(Anderson)
        1    0.000    0.000    0.000    0.000 {posix.sysconf}
        1    0.000    0.000    0.000    0.000 __init__.py:232(RenameImport)
        1    0.000    0.000    0.000    0.000 threading.py:373(notify)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        1    0.000    0.000    0.000    0.000 difflib.py:1670(HtmlDiff)
        1    0.000    0.000    0.000    0.000 __init__.py:692(createLock)
        1    0.000    0.000    0.000    0.000 threading.py:423(_Semaphore)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.000    0.000    0.000    0.000 core.py:5838(__new__)
        1    0.000    0.000    0.000    0.000 arpack.py:960(IterOpInv)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(addHandler)
        1    0.000    0.000    0.000    0.000 _ode.py:877(zvode)
        1    0.000    0.000    0.000    0.000 numeric.py:2824(_setdef)
        1    0.000    0.000    0.000    0.000 warnings.py:343(__enter__)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        3    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:258(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 nonlin.py:552(InverseJacobian)
        1    0.000    0.000    0.000    0.000 optimize.py:75(OptimizeResult)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 warnings.py:322(__init__)
        1    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 core.py:6053(_frommethod)
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:284(LazyOperatorNormInfo)
        6    0.000    0.000    0.000    0.000 string.py:310(join)
        1    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        1    0.000    0.000    0.000    0.000 _version.py:17(NumpyVersion)
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nonlin.py:1272(ExcitingMixing)
        1    0.000    0.000    0.000    0.000 case.py:1020(FunctionTestCase)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 linalg.py:101(get_linalg_error_extobj)
        1    0.000    0.000    0.000    0.000 npyio.py:87(NpzFile)
        1    0.000    0.000    0.000    0.000 __init__.py:501(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 threading.py:552(_Event)
        1    0.000    0.000    0.000    0.000 core.py:5999(__init__)
        1    0.000    0.000    0.000    0.000 arpack.py:273(ArpackError)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:150(_ndptr)
        1    0.000    0.000    0.000    0.000 newint.py:22(BaseNewInt)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 utils.py:998(SafeEval)
        1    0.000    0.000    0.000    0.000 _ode.py:615(IntegratorBase)
        1    0.000    0.000    0.000    0.000 interface.py:620(IdentityOperator)
        1    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 nonlin.py:1232(LinearMixing)
        1    0.000    0.000    0.000    0.000 UserDict.py:39(keys)
        1    0.000    0.000    0.000    0.000 utils.py:1481(WarningMessage)
        1    0.000    0.000    0.000    0.000 runner.py:119(TextTestRunner)
        1    0.000    0.000    0.000    0.000 socket.py:171(_closedsocket)
        1    0.000    0.000    0.000    0.000 warnings.py:359(__exit__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
        1    0.000    0.000    0.000    0.000 numeric.py:2747(errstate)
        3    0.000    0.000    0.000    0.000 core.py:747(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 threading.py:125(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:255(_Condition)
        1    0.000    0.000    0.000    0.000 index_tricks.py:447(__init__)
        1    0.000    0.000    0.000    0.000 records.py:285(recarray)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 arpack.py:588(_UnsymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 core.py:2255(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 arpack.py:930(IterInv)
        1    0.000    0.000    0.000    0.000 _ode.py:1034(dop853)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:185(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 nosetester.py:129(NoseTester)
        1    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        2    0.000    0.000    0.000    0.000 linalg.py:124(_realType)
        1    0.000    0.000    0.000    0.000 __init__.py:1687(NullHandler)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 optimize.py:1690(Brent)
        1    0.000    0.000    0.000    0.000 optimize.py:53(MemoizeJac)
        1    0.000    0.000    0.000    0.000 core.py:6011(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:359(LbfgsInvHessProduct)
